time,open,high,low,close,tick_volume,spread,real_volume
2022-02-01,1797.51,1808.79,1795.77,1800.9,98541,5,0
2022-02-02,1801.02,1810.77,1794.51,1806.86,87102,5,0
2022-02-03,1806.94,1808.93,1788.66,1804.88,106335,5,0
2022-02-04,1804.8,1814.88,1792.14,1807.84,105497,5,0
2022-02-07,1808.53,1823.54,1807.84,1820.48,103673,5,0
2022-02-08,1821.2,1828.75,1815.43,1826.03,89692,5,0
2022-02-09,1825.75,1835.8,1824.73,1832.87,83092,5,0
2022-02-10,1832.74,1841.92,1821.68,1826.75,123300,5,0
2022-02-11,1827.28,1865.45,1820.92,1858.98,134846,5,0
2022-02-14,1855.86,1874.16,1850.82,1871.74,145102,5,0
2022-02-15,1870.57,1879.51,1844.49,1853.36,111096,5,0
2022-02-16,1853.83,1872.57,1850.33,1869.0,101098,5,0
2022-02-17,1869.85,1901.13,1867.81,1898.25,136437,5,0
2022-02-18,1898.69,1902.51,1886.58,1897.34,114121,5,0
2022-02-21,1902.54,1908.26,1887.62,1903.46,84038,5,0
2022-02-22,1912.0,1913.98,1891.38,1898.5,149372,5,0
2022-02-23,1898.91,1910.49,1889.62,1908.08,101624,5,0
2022-02-24,1909.79,1974.52,1878.0,1903.77,194530,5,0
2022-02-25,1906.5,1921.42,1882.86,1888.25,149053,5,0
2022-02-28,1919.79,1926.69,1890.86,1908.26,144843,5,0
2022-03-01,1908.3,1950.17,1901.39,1945.17,143236,5,0
2022-03-02,1942.98,1947.87,1913.42,1927.61,134384,5,0
2022-03-03,1929.27,1941.18,1922.08,1936.62,119807,5,0
2022-03-04,1936.72,1970.19,1929.56,1969.74,142983,5,0
2022-03-07,1980.67,2002.61,1961.03,1997.24,196672,5,0
2022-03-08,1997.23,2070.3,1981.08,2050.15,198331,5,0
2022-03-09,2050.01,2059.24,1976.04,1992.39,163223,5,0
2022-03-10,1991.87,2009.1,1970.26,1996.01,130688,5,0
2022-03-11,1997.35,1998.88,1958.56,1985.22,92301,5,0
2022-03-14,1979.73,1983.64,1949.7,1951.44,91098,5,0
2022-03-15,1953.28,1954.5,1907.05,1917.56,99796,5,0
2022-03-16,1920.11,1929.49,1895.01,1924.83,96954,5,0
2022-03-17,1925.74,1949.74,1923.35,1942.56,77105,5,0
2022-03-18,1942.17,1945.36,1917.97,1920.74,76973,5,0
2022-03-21,1925.11,1941.02,1917.69,1934.91,86440,5,0
2022-03-22,1936.13,1938.35,1910.67,1921.53,87653,5,0
2022-03-23,1921.25,1948.28,1915.51,1944.86,81077,5,0
2022-03-24,1944.37,1966.2,1937.54,1956.95,96136,5,0
2022-03-25,1958.89,1964.37,1943.2,1957.24,89859,5,0
2022-03-28,1955.63,1958.52,1917.02,1921.82,135330,5,0
2022-03-29,1922.35,1929.36,1890.02,1919.31,126619,5,0
2022-03-30,1920.13,1938.45,1915.81,1933.13,99642,5,0
2022-03-31,1933.15,1949.76,1919.1,1936.88,103869,5,0
2022-04-01,1937.15,1939.6,1918.06,1924.09,100483,5,0
2022-04-04,1924.07,1936.82,1915.5,1932.72,94779,5,0
2022-04-05,1932.48,1944.58,1917.97,1923.62,95000,5,0
2022-04-06,1923.02,1933.41,1915.15,1925.61,114996,5,0
2022-04-07,1924.08,1937.72,1920.47,1931.25,99273,5,0
2022-04-08,1931.72,1948.13,1927.67,1946.4,98330,5,0
2022-04-11,1947.6,1969.78,1940.0,1954.81,118601,5,0
2022-04-12,1952.27,1978.68,1949.81,1966.38,115216,5,0
2022-04-13,1966.8,1981.59,1962.81,1977.76,100307,5,0
2022-04-14,1977.13,1980.35,1960.38,1973.19,103260,5,0
2022-04-18,1972.39,1998.43,1971.66,1978.71,114849,5,0
2022-04-19,1977.54,1982.0,1943.81,1949.19,122648,5,0
2022-04-20,1949.81,1958.33,1939.32,1957.63,123682,5,0
2022-04-21,1956.03,1957.32,1936.84,1951.74,120391,5,0
2022-04-22,1950.28,1955.63,1926.68,1931.91,129730,5,0
2022-04-25,1932.72,1934.26,1891.43,1897.67,155239,5,0
2022-04-26,1898.55,1911.27,1895.77,1906.14,124208,5,0
2022-04-27,1906.03,1907.03,1881.42,1885.53,129329,0,0
2022-04-28,1885.48,1896.72,1872.04,1894.22,136439,0,0
2022-04-29,1895.11,1919.83,1892.48,1896.42,130267,0,0
2022-05-02,1899.29,1899.86,1854.6,1863.21,118986,0,0
2022-05-03,1863.44,1878.13,1850.38,1868.01,106602,0,0
2022-05-04,1868.01,1889.81,1861.42,1881.75,105286,0,0
2022-05-05,1881.9,1909.77,1872.57,1877.2,147709,0,0
2022-05-06,1876.3,1892.56,1866.06,1882.37,133035,0,0
2022-05-09,1883.46,1885.59,1851.63,1854.13,144766,0,0
2022-05-10,1853.22,1865.39,1835.49,1838.24,139294,0,0
2022-05-11,1838.98,1858.15,1831.97,1852.3,133536,0,0
2022-05-12,1851.39,1858.77,1821.53,1821.94,147591,0,0
2022-05-13,1822.63,1828.76,1799.06,1811.66,115205,0,0
2022-05-16,1814.33,1826.89,1786.84,1824.79,108297,0,0
2022-05-17,1824.95,1836.05,1812.86,1814.52,105592,0,0
2022-05-18,1814.35,1824.71,1807.32,1817.35,99690,0,0
