time,open,high,low,close,tick_volume,spread,real_volume
2020-02-03,1588.65,1592.0,1569.28,1576.3,91040,7,0
2020-02-04,1578.56,1579.61,1548.97,1552.74,81029,7,0
2020-02-05,1553.18,1562.41,1547.38,1556.41,84219,7,0
2020-02-06,1554.67,1568.23,1552.46,1566.46,71100,7,0
2020-02-07,1565.81,1574.05,1560.08,1570.0,97707,7,0
2020-02-10,1569.27,1577.01,1567.96,1571.87,72137,8,0
2020-02-11,1572.09,1574.05,1561.92,1567.63,75255,7,0
2020-02-12,1567.49,1570.46,1561.95,1565.73,65805,7,0
2020-02-13,1566.13,1578.33,1565.51,1575.98,80200,7,0
2020-02-14,1575.91,1585.01,1573.02,1583.69,60275,7,0
2020-02-17,1581.25,1583.78,1578.85,1580.86,30617,7,0
2020-02-18,1583.69,1605.05,1583.23,1601.35,78332,7,0
2020-02-19,1601.17,1612.91,1599.53,1611.34,81876,7,0
2020-02-20,1610.97,1623.73,1603.84,1619.26,105222,7,0
2020-02-21,1619.7,1649.23,1618.92,1643.73,115265,7,0
2020-02-24,1659.37,1689.25,1650.83,1658.5,156168,7,0
2020-02-25,1657.47,1658.77,1624.98,1635.26,176551,7,0
2020-02-26,1638.13,1654.95,1624.73,1640.5,161690,7,0
2020-02-27,1641.12,1660.37,1635.19,1644.23,163430,7,0
2020-02-28,1641.91,1649.46,1562.93,1584.7,186323,7,0
2020-03-02,1581.79,1610.94,1575.31,1589.75,171570,7,0
2020-03-03,1590.45,1649.29,1589.58,1639.48,146391,7,0
2020-03-04,1642.09,1653.13,1631.81,1635.73,124231,7,0
2020-03-05,1636.57,1674.57,1634.97,1671.58,121017,7,0
2020-03-06,1671.61,1692.09,1641.97,1674.06,164891,7,0
2020-03-09,1695.92,1703.44,1657.41,1678.15,151869,7,0
2020-03-10,1667.73,1671.42,1641.49,1649.37,143340,7,0
2020-03-11,1651.93,1671.24,1632.94,1636.63,128334,7,0
2020-03-12,1640.1,1650.07,1560.59,1578.63,158775,7,0
2020-03-13,1576.3,1597.91,1504.62,1529.78,192149,2,0
2020-03-16,1543.04,1562.94,1451.13,1509.09,219115,2,0
2020-03-17,1511.75,1553.85,1465.42,1527.8,208552,2,0
2020-03-18,1537.29,1543.29,1472.61,1484.63,192152,2,0
2020-03-19,1485.3,1500.77,1461.89,1474.34,137143,2,0
2020-03-20,1467.47,1515.93,1465.83,1498.64,104650,5,0
2020-03-23,1490.2,1561.08,1485.0,1552.39,110268,2,0
2020-03-24,1563.45,1632.3,1557.62,1625.33,74427,2,0
2020-03-25,1630.56,1638.85,1594.95,1616.35,63879,2,0
2020-03-26,1612.4,1644.37,1595.26,1628.93,52710,2,0
2020-03-27,1630.2,1631.06,1613.83,1622.55,58020,0,0
2020-03-30,1619.97,1632.25,1610.39,1620.31,65237,2,0
2020-03-31,1621.75,1622.22,1574.19,1576.78,83749,2,0
2020-04-01,1571.41,1599.96,1569.33,1591.26,72363,2,0
2020-04-02,1590.36,1620.17,1582.65,1611.66,100031,2,0
2020-04-03,1614.39,1626.04,1605.85,1615.7,68469,0,0
2020-04-06,1614.62,1669.88,1608.35,1658.19,94932,2,0
2020-04-07,1664.81,1674.02,1642.16,1647.94,113280,2,0
2020-04-08,1647.27,1656.87,1641.58,1645.4,70588,18,0
2020-04-09,1645.41,1690.43,1643.86,1683.56,100976,18,0
2020-04-13,1677.47,1723.27,1674.98,1711.98,79657,18,0
2020-04-14,1712.25,1747.4,1708.56,1726.54,121755,18,0
2020-04-15,1726.54,1731.11,1707.52,1716.5,101927,18,0
2020-04-16,1716.49,1738.66,1708.01,1718.38,120139,18,0
2020-04-17,1718.48,1718.52,1680.1,1682.14,126136,18,0
2020-04-20,1683.02,1702.7,1671.55,1695.28,149666,18,0
2020-04-21,1695.4,1697.86,1660.03,1683.54,159877,18,0
2020-04-22,1683.79,1718.74,1680.29,1714.87,96972,18,0
2020-04-23,1714.66,1738.78,1707.0,1730.31,135452,18,0
2020-04-24,1730.56,1736.35,1710.36,1726.41,124540,18,0
2020-04-27,1722.32,1727.59,1705.87,1714.94,122739,18,0
2020-04-28,1714.9,1716.16,1691.54,1707.65,120584,18,0
2020-04-29,1708.02,1717.67,1697.76,1712.89,123365,18,0
