time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02,2624.48,2660.46,2621.48,2657.98,83419,5,0
2025-01-03,2658.34,2665.15,2636.51,2639.98,74593,5,0
2025-01-06,2641.45,2649.45,2614.45,2635.77,83848,5,0
2025-01-07,2636.09,2664.33,2632.98,2648.42,70702,5,0
2025-01-08,2648.45,2670.0,2645.25,2661.44,80604,5,0
2025-01-09,2661.31,2678.23,2655.51,2670.34,67495,5,0
2025-01-10,2670.34,2698.01,2663.96,2688.96,89266,5,0
2025-01-13,2690.19,2693.27,2656.84,2662.98,93434,5,0
2025-01-14,2663.55,2678.38,2659.86,2677.37,88452,5,0
2025-01-15,2678.38,2697.55,2669.39,2696.28,81616,5,0
2025-01-16,2695.01,2724.76,2690.03,2714.26,86394,5,0
2025-01-17,2714.44,2717.38,2698.47,2702.92,80490,5,0
2025-01-20,2703.09,2713.76,2689.26,2706.7,69969,5,0
2025-01-21,2708.28,2746.02,2702.81,2744.69,92790,5,0
2025-01-22,2745.17,2763.45,2741.1,2756.18,84738,5,0
2025-01-23,2756.17,2758.92,2735.58,2754.52,85621,5,0
2025-01-24,2754.64,2785.94,2753.49,2771.48,87370,5,0
2025-01-27,2769.76,2772.53,2730.48,2740.7,99704,5,0
2025-01-28,2739.91,2765.11,2734.81,2763.17,83114,5,0
2025-01-29,2763.23,2766.2,2744.76,2759.68,83303,5,0
2025-01-30,2759.61,2798.49,2758.23,2794.06,83835,5,0
2025-01-31,2795.08,2817.23,2791.02,2798.47,91210,5,0
2025-02-03,2804.21,2830.4,2772.17,2814.75,107358,5,0
2025-02-04,2814.62,2845.49,2807.19,2842.01,96838,5,0
2025-02-05,2842.67,2882.49,2839.67,2867.02,90945,5,0
2025-02-06,2864.94,2873.28,2834.1,2855.55,91182,5,0
2025-02-07,2855.66,2886.68,2852.39,2861.3,85320,5,0
2025-02-10,2857.21,2911.77,2854.81,2907.88,92001,5,0
2025-02-11,2907.9,2942.58,2881.81,2897.53,103139,5,0
2025-02-12,2898.02,2909.15,2863.54,2903.97,92459,5,0
